95 NAMAYINGO,033 BUKOOLI SOUTH COUNTY,01 BANDA,03 BUWOYA,01 BUDIANGA
,,,,02 BUSERO
,,,,03 HASUSUNI
,,,,04 MAYAKALO
,,,,05 NAMUGONGO
,,,,06 RADANGA
,,,40 BUMALENGE,01 BULAGAYE LOWER
,,,,02 BULAGAYE UPPER
,,,,03 BUTANIRA
,,,,04 LYANJALA
,,,,05 NAMUDIA
,,,,06 SECHO
