41 BUGIRI,031 BUKOOLI COUNTY CENTRAL,01 BULESA,01 BUWUNI,01 BUBUZI
,,04 KAPYANGA,05 BUGIRI A,01 BUGHONDHANDHALA
,,,,02 NAITOSI
,,,,04 BUKONDE B
,,,,05 BUYUBU
,,,,07 KAPYANGA
,,,,10 BUTAKANIRA
,,,06 KISEITAKA,01 KAATO
,,,,02 KIRONGERO 'A'
,,,,03 KIRONGERO 'B'
,,,,04 KISEITAKA
,,,,05 NAMINYAGWE
,,,,06 WANENGA
,,,07 NAKAVULE,01 IZIRA
,,,,02 KAMANGO
,,,,03 KIKABALA
,,,,04 NAKAVULE
,,,,05 KIDHEBERO
,,,08 NAMUKONGE,01 BUGODO A
,,,,02 BUKAYE A
,,,,03 BUWOFU
,,,,04 IGOGO
,,,,05 KAYANGO A
,,,,06 BUGODO B
,,,,07 BUKAYE B
,,,,08 KAYANGO B
,,,,09 KAYANGO C
,,,09 NDIFAKULYA,01 BUKAYE
,,,,02 LWABA
,,,,03 MUGONA NORTH
,,,,04 MUGONA SOUTH
,,,,05 NDIFAKULYA
,,,25 ISAGAZA,01 BUGOYOZI A
,,,,02 ISAGAZA A
,,,,03 NAMAGO
,,,,04 BUGOYOZI B
,,,,05 ISAGAZA B
,,,26 BUGUNGA,01 BUDIBYA
,,,,02 BUGUNGA
,,,,03 BUSOLO
,,,,04 BUSWIRIRI
,,,,05 BUJAKA
,,,,06 KAWEMPE
,,,29 BUGUBO,01 BUSANZI
,,,,02 BUGUBO
,,,,03 BUKONDE A
,,,,04 BUBETA
,,,,06 KAKANDWA
,,,,08 MUYEMU
,,,,09 NABYUNYU
,,,30 NAMAYEMBA,01 NAMAYEMBA CENTRAL B
,,,,02 NAMAYEMBA EAST B
,,,,03 NAMAYEMBA WEST A
,,,,04 NAMAYEMBA CENTRAL A
,,,,05 NAMAYEMBA EAST A
,,,,06 NAMAYEMBA WEST B
,,05 NABUKALU,10 BUTYABULE,01 BUTYABULE
,,,,02 KYABAKAIRE
,,,,03 NABUGANGA
,,,,04 NAWANSEGA
,,,,05 BUZIKA
,,,,06 NAKABALE
,,,,07 NAKAKONO
,,,12 ISEGERO,01 BUKWAKU
,,,,02 BUWOLOGOMA
,,,,03 ISEGERO
,,,,04 ITANDA
,,,,05 NABUKIMA
,,,,06 NAKAVULE
,,,14 KASITA,02 BUKYANSIKO
,,,,04 KAKINDU
,,,,05 KATETEMPE
,,,,06 NABUKALU
,,,,08 BUDHEBERO
,,,,09 MAGOLO
,,,,10 NAMUNDOLERA
,,,15 NKAIZA,01 BUKAZITO
,,,,02 BULALO
,,,,03 BULANGA
,,,,04 KAKOGE
,,,16 WANGOBO,01 BUSAALA
,,,,02 BUSWIRIRI
,,,,03 BUZIBA
,,,,04 ITENTE
,,,,05 NSOKWE
,,,,06 BUKAKAIRE
,,,27 LWANIKA,01 KIWONGOLO
,,,,02 LWANIKA CENTRAL
,,,,03 LWANIKA NORTH
,,,,04 LWANIKA SOUTH
,,,28 NAKIVAMBA,01 BUKANDA
,,,,02 BUKYEMANTA
,,,,03 BUTUUKA
,,,,04 NAMAKOKO
,,,,05 BUDANDO
,,,,06 BUKAYE
,,,31 BUBALYA,01 BUBALYA
,,,,02 BUYAYA
,,,,03 KABASALA
,,,,04 MAGALAMA
,,,,05 NAWANZU
,,,,07 NAIGAGA
,,,32 BUKUBANSIRI,01 BUSOWOBI
,,,,02 NAWAMBIRI
,,,,03 BUKUBANSIRI
,,,,04 NAKITAKA
,,,,05 WABUGESA
,,,,06 NAMAYINGO
