49 MAYUGE,034 BUNYA COUNTY EAST,01 BUWAAYA,01 BUWAISWA,01 BUBAGO
,,,03 KATONTE,01 BUWANGA 'A'
,,,,02 BUWANGA 'B'
,,,,03 KATONTE
,,,,05 MAGAMAGA
,,,04 LUGOLOLE,01 BAITAMBOGWE
,,,,02 LUGOLOLE B
,,,,03 LUGULOLE A
,,,,04 MBIRIZI
,,,05 MULINGILIRE,01 BUBABWE
,,,,02 IZINGA
,,,,04 MULINGIRIRE
,,,,05 MUSITA A
,,,,07 NAMUSENWA
,,,,09 BUGODI B
,,,24 IGEYERO,03 IGEYERO A
,,,,04 MUKUTA
,,,,07 WAGONA
,,,,08 IGEYERO B
,,,25 LUKONE,04 LUKONE
,,,,06 NAMAGERA
,,,,07 NSINDA
,,,26 BUGODI,02 BUGODI
,,,,06 MUSITA B
,,,,08 NAWANGIRI
,,,27 WAINHA,04 NABALONGO B
,,,,05 NABALONGO A
,,,,06 WAINHA 'A'
,,,,07 WAINHA 'B'
,,02 IMANYIRO,09 MAGADA,01 BULYAMPINDI
,,,,02 LUYIRA
,,,,03 MAGADA
,,,,04 NAMADUDU
,,,,05 NAMAKAKALE
,,,,06 WANTE
,,,,07 WALUGOGO
,,,11 MAYUGE,01 BUDHEBERA
,,,,02 BUKAWONGO
,,,,03 BWIWULA
,,,,05 LUWANULA
,,,,06 MATUBA
,,,12 MBAALE,01 IGUNDA
,,,,02 IMANYIRO
,,,,03 MAGUNGA
,,,,04 MBAALE
,,,,05 NAMWOGI
,,,,06 WANSWA
,,,,07 KAKUNU
,,,13 NKOMBE,01 KITOVU
,,,,02 KYANDAILE
,,,,03 LWANDA
,,,,04 NKOMBE 'A'
,,,,05 NKOMBE 'B'
,,,,06 NAKABALE
,,,20 BUFULUBI,01 BUFULUBI A
,,,,02 BUFULUBI B
,,,,03 BUKOMYA
,,,,05 KISULE
,,,,06 LWABALA
,,,,07 NAKIWATA
,,,,08 BUVUNA
,,03 MAYUGE TOWN COUNCIL,14 IKULWE WARD,01 BUGINGO
,,,,02 IGAMBA A
,,,,03 IGAMBA B
,,,,04 KATWE
,,,,05 TSE-TSE
,,,15 KAVULE WARD,01 BUDHEBERA
,,,,02 DFI
,,,,03 KAVULE
,,,,04 MAYUGE CENTRAL
,,,16 KASUGU WARD,01 DWALIRO
,,,,02 KASUGU 'A'
,,,,03 KASUGU 'B'
,,,17 KYEBANDO WARD,01 KYEBANDO
,,,,02 NAKABAFU
,,,,03 ST. MULUMBA
,,,,04 WAKALENDE
,,04 BUKATUBE,07 BUYEMBA,01 BUBALAGALA
,,,,02 BUKASERO A
,,,,03 BUKASERO B
,,,,04 BUYEMBA 'A'
,,,,05 BUYEMBA 'B'
,,,,06 LUUBU A
,,,,07 MUGERI B
,,,,08 NAMBULUKUSA
,,,,09 WALUKUBA
,,,,10 LUUBU B
,,,,11 MUGERI A
,,,08 LWANIKA,01 BUDHALA 'A'
,,,,02 BUDHALA 'B'
,,,,03 BUKATUBE 'A'
,,,,04 BUTIMBWA
,,,,05 KAPALUKO
,,,,06 KASONZI
,,,,07 LUKINDU A
,,,,08 LUKINDU B
,,,,09 LWANIKA A
,,,,10 NDHOKERO A
,,,,11 WAMONDO
,,,,12 BUKATUBE B
,,,,13 NDHOKERO B
,,,,14 BUWOLOMERA
,,,,15 LWANIKA B
,,,10 MAUTA,01 BUGULUMA
,,,,02 BUYOKA
,,,,03 KABUKI
,,,,04 KYANDO
,,,,05 MAUTA
,,,18 BUKALEBA,01 BUKALEBA
,,,,02 NAKALANGA A
,,,,03 NAMUGONGO
,,,,04 WALUMBE BEACH
,,,,05 NAKALANGA B
,,,19 MBIRABIRA,01 BUFUTA A
,,,,02 BUGWANANDALA
,,,,03 BUWERERE
,,,,04 MASAKA
,,,,05 MBIRABIRA
,,,,06 BUFUTA B
,,05 WAIRASA,01 BUSUYI,01 BUGABWE
,,,,02 BUSUYI
,,,,04 BUYEMBA
,,,,05 KASITA
,,,,06 BUSOWANIRE
,,,06 MAGAMAGA TOWN BOARD,01 BUKOLI A
,,,,02 BUKOLI B
,,,,03 WABULUNGU A
,,,,04 WABULUNGU B
,,,,05 WABULUNGU T.C
,,,21 IGULUIBI,01 IGULUIBI  A
,,,,02 IGULUIBI B
,,,,03 NTOKOLO
,,,,04 WAIBALE
,,,22 WANDAGO,01 NAMALERE
,,,,02 WAIRASA
,,,,03 WANDAGO  A
,,,,04 WANDAGO B
,,,23 MISOLI,01 BUSALAMU
,,,,02 MISOOLI VILLAGE
,,,,03 MISOOLI BEACH
,,,,04 MISOOLI TRADING CENTRE
,,,,05 NTINKALU
