,,,12 BUKOONA,01 BUPALA
,,,,02 KAKONGOKA
,,,,03 NAMUNDUDI A
,,,,04 NAMUNDUDI B
,,,,05 KAKONGOKA B
,,,,06 NAMUNAUDI C
,,,,07 BUKALAMBWA
,,,13 BUSEYI,01 BUSEYI A
,,,,02 BUSEYI B
,,,,03 BUSEYI CENTRAL
,,,14 NAKALAMA,01 BUKOBOOLI
,,,,02 BUKYAYE
,,,,03 BUTAAMA
,,,,04 NABIRYE
,,,,05 NAKALAMA CENTRAL
,,,,06 NAKALAMA SOUTH
,,,,07 NAKALAMA NORTH
,,04 NAKIGO,15 BULUBANDI,01 BUGABWE
,,,,02 BULUBANDI CENTRAL A
,,,,03 NANDEKULA A
,,,,04 BULUBANDI CENTRAL B
,,,,05 NANDEKULA B
,,,16 BUNYAMA,01 BUKWAYA
,,,,02 BUNYAMA
,,,,03 KIBOYO
,,,,04 NAMIRALI
,,,17 BUSOWOOBI,01 BUSOWOOBI- NYENGA
,,,,02 BUSOWOOBI CENTRAL
,,,,03 NABITOVU
,,,,04 NAKIGO I
,,,,05 NAKIGO II
,,,,06 KIWERERE
,,,18 KABIRA,01 BULUZA
,,,,02 KABIRA
,,,,03 NAWANZU
,,,,04 NAMUSENWA
,,,19 WAIRAMA,01 IZIMBA
,,,,02 KAKOMBO
,,,,03 NAKISENYI
,,,,04 WAIRAMA
,,05 NAWANYINGI,04 BULAMAGI,01 BUBAKA
,,,,02 BULAMAGI
,,,06 BUNYIRO,01 BUNYIIRO
,,,,02 BUWOLOMERA A
,,,,03 BUWOLOMER B
,,,,04 NAGADUDULA
,,,,05 BUKOSE
,,,,06 LWABAGA
,,,09 MAGOGO,01 BUKONKO
,,,,02 LWERERA
,,,,03 MAGOGO
,,,,04 NAKIRULWE
,,,,05 NAWANDYO
,,,,06 BUWANDE
,,,,07 BUWENDA
,,,10 NAWANYINGI,01 MAWAGALA
,,,,02 NAWANKONGE
,,,,03 NAWANYINGI
,,,,04 MBAALA
,,,,05 BUWOIREKU
,,,,06 LUGOBANGO
,,,,07 WALUGOMA
,228 IGANGA MUNICIPALITY,01 CENTRAL DIVISION,02 NAKAVULE WARD,01 LUBAALE
,,,,05 NAKAVULE 'A'
,,,,06 NAKAVULE 'B'
,,,,07 NAKAVULE MAIN
,,,05 NABIDONGHA PRISON WARD,02 BULIGO SOUTH
,,,,06 NABIDONGA C
,,,,07 NABIDONGHA PRISONS
,,,06 NABIDONGHA WARD,02 NABIDONGHA A
,,,,03 NABIDONGHA B
,,,,04 NABIDONGHA PROPER
,,,08 WALUGOGO WARD,03 KASOKOSO CENTRAL III
,,,,04 WALUGOGO ESTATE
,,,21 KASOKOSO WARD,01 KASOKOSO CENTRAL I
,,,,02 KASOKOSO CENTRAL II
,,,22 BULIGO WARD,01 BULIGO NORTH
,,,,03 KASOKOSO NORTH
,,,,04 KASOKOSO SOUTH
,,,,05 KAYAGA
,,02 NORTHERN DIVISION,01 NKONO WARD,03 NKONO II
,,,,04 NKONO CENTRAL
,,,,07 SILIVE
,,,03 IGAMBA WARD,01 BIKADHO
,,,,04 IGAMBA
,,,04 MUTUKULA WARD,01 MUTAMBALA
,,,,02 MUTUKULA
,,,,05 NKONO I
,,,,06 NKONO III
,,,07 NKATU WARD,05 KILOWA
,,,,06 NKAATU MAIN
,,,,07 NKAATU PROPER
,,,20 BUGUMBA WARD,02 BUGUMBA  A
,,,,03 BUGUMBA  B
