"","HHID","region","yield"
"334",261080401,"Western",666.666666666667
"335",261100401,"Western",500
"336",262030401,"Western",800
"337",262050401,"Western",4000
"338",262070401,"Western",1000
"339",263020401,"Western",208.333333333333
"340",263040401,"Western",499.99999254942
"341",263070401,"Western",1176.47057586063
"342",263080401,"Western",1800
"343",263090401,"Western",1120
"344",264050401,"Western",795.454528213533
"345",264060401,"Western",200
"346",264110401,"Western",800
"347",270070401,"Western",500
"348",270080401,"Western",823.52941753955
"349",271020401,"Western",560
"350",271030401,"Western",1050
"351",271060401,"Western",1499.99997764826
"352",271080401,"Western",600
"353",271100401,"Western",2470.58816599599
"354",274030401,"Western",500
"355",274040401,"Western",450
"356",274040402,"Western",1000
"357",274090401,"Western",450
"358",278030401,"Western",1200
"359",278050402,"Western",1125
"360",279040401,"Western",500
"361",279080401,"Western",250
"362",279090401,"Western",1500
"363",279100401,"Western",479.591836734694
"364",281020401,"Western",2500
"365",281060401,"Western",999.999985098839
"366",281070401,"Western",93.7499986030162
"367",281080401,"Western",45
"368",281100401,"Western",656
"369",282020401,"Western",2666.66656070286
"370",282060401,"Western",593.749991152436
"371",282070401,"Western",320
"372",282090401,"Western",2000
"373",282100401,"Western",999.999960263572
"374",283100401,"Western",166.666666666667
"375",285050403,"Western",333.33332836628
"376",285100401,"Western",166.666660043929
"377",285110401,"Western",476.190464026263
"378",287020401,"Western",3333.3332836628
"379",287060401,"Western",600
"380",290030401,"Western",163.636363636364
"381",290040401,"Western",1200
"382",290060401,"Western",700
"383",294090401,"Western",1000
"384",295080401,"Western",250
"385",296020401,"Western",487.499992735684
"386",296020402,"Western",333.333333333333
"387",296040402,"Western",120
"388",296090401,"Western",400
"389",297070402,"Western",100
"390",298020401,"Western",70.8333333333333
"391",298030401,"Western",237.154149876367
"392",299020405,"Western",3749.99994412065
"393",299040401,"Western",1000
"394",299080402,"Western",525.714285714286
"395",300100401,"Western",3066.66666666667
"396",303030401,"Western",250
"397",303100401,"Western",300
"398",305030401,"Western",700
"399",306050401,"Western",500
"400",307080401,"Western",400
"401",308050401,"Western",333.333320087857
"402",308060401,"Western",1160
"403",308070401,"Western",300
"404",308090401,"Western",674.999989941716
"405",308100401,"Western",150
"406",308110401,"Western",666.666666666667
"407",309080401,"Western",66.6666656732559
"408",310080401,"Western",399.999984105429
"409",311100401,"Western",249.99999627471
"410",317030401,"Western",533.333312140572
"411",317060402,"Western",266.666656070286
"412",319030401,"Western",800
"413",319040401,"Western",1000
"414",319070401,"Western",750
"415",319080401,"Western",187.5
"416",319090401,"Western",140.740735148206
"417",321030401,"Western",1000
"418",321080401,"Western",1200
"419",322050401,"Western",1333.33333333333
"420",322060401,"Western",2400
"421",322070401,"Western",80.3571416597281
"422",335010401,"Central",1009.99998494983
"423",335020401,"Central",395.833327434957
"424",335030401,"Central",410
"425",335040401,"Central",396
